,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
374,Makurdi,NG,1561748819,7.73,8.54,78.15,84,42,4.27
375,Singaraja,ID,1561748819,-8.11,115.08,76.35,65,37,7.67
376,Glasgow,GB,1561748684,55.86,-4.24,71.6,64,3,11.41
377,La Palma,CO,1561748819,5.36,-74.39,90.93,35,70,5.59
378,Kaili,ID,1561748819,-3.46,120.21,56.19,85,24,3.74
379,Nagorsk,RU,1561748820,59.32,50.8,59.25,71,96,10.4
380,Aklavik,CA,1561748820,68.22,-135.01,51.8,62,40,4.7
381,Bang Saphan,TH,1561748820,11.21,99.51,80.31,80,99,9.55
382,Nelson Bay,AU,1561748820,-32.72,152.14,53.6,87,0,8.05
383,Kattivakkam,IN,1561748821,13.22,80.32,87.8,74,40,11.41
384,Lashio,MM,1561748821,22.93,97.75,70.05,98,85,0.29
385,Wana,PK,1561748668,32.31,69.59,66.09,61,2,1.77
386,Yar-Sale,RU,1561748821,66.83,70.83,52.95,78,70,5.37
387,Panguna,PG,1561748821,-6.32,155.48,81.21,80,98,6.67
388,Iqaluit,CA,1561748821,63.75,-68.52,69.8,37,40,19.46
389,Pastavy,BY,1561748821,55.11,26.84,57.27,58,3,12.93
390,Salaga,GH,1561748822,8.55,-0.52,84.63,66,65,1.54
391,Cacimba de Dentro,BR,1561748822,-6.64,-35.79,80.13,56,40,14.47
392,Itaituba,BR,1561748822,-4.26,-55.99,93.2,49,20,8.05
393,Mawlaik,MM,1561748822,23.63,94.42,74.37,88,100,4.14
394,Lokosovo,RU,1561748822,61.13,74.84,44.85,91,87,4.16
395,Harqalah,SY,1561748822,35.96,38.95,84.63,47,0,25.48
396,Insar,RU,1561748823,53.87,44.37,59.07,92,3,10.85
397,Doha,QA,1561748347,25.29,51.53,100.4,33,0,5.82
398,Ponta Delgada,PT,1561748706,37.73,-25.67,68.0,64,20,14.99
399,Formosa,BR,1561748823,-15.55,-47.33,77.25,36,0,9.6
400,Ucluelet,CA,1561748584,48.94,-125.55,63.0,93,90,9.17
401,Corinto,CO,1561748823,3.17,-76.26,84.2,54,75,2.24
402,Polyanka,UA,1561748823,50.26,27.69,56.73,80,16,10.74
403,Mega,ET,1561748823,4.06,38.32,75.99,52,11,11.68
404,Klaksvik,FO,1561748824,62.23,-6.59,50.0,93,90,3.36
405,Biltine,TD,1561748824,14.53,20.93,101.73,16,32,7.7
406,Dukat,AL,1561748824,40.25,19.57,81.0,56,0,1.77
407,Gobabis,NA,1561748824,-22.45,18.97,62.6,29,0,1.12
408,Wanning,AT,1561748824,48.64,13.53,80.6,36,0,4.7
409,Pangai,TO,1561748825,-19.8,-174.35,75.2,73,75,13.87
410,Nassau,AT,1561748825,46.81,15.34,75.0,64,0,8.05
411,Cabra,ES,1561748825,37.47,-4.43,98.6,28,0,6.93
412,Qazvin,IR,1561748825,36.28,50.01,65.91,81,0,7.81
413,Wonthaggi,AU,1561748825,-38.6,145.59,62.01,73,23,13.91
414,Northallerton,GB,1561748825,54.34,-1.43,68.0,77,0,10.29
415,Cassilandia,BR,1561748685,-19.11,-51.73,85.71,36,0,9.1
416,Payo,ID,1561748826,-3.75,103.64,66.63,91,68,3.11
417,Santa Luzia,BR,1561748826,-19.77,-43.85,78.8,41,40,9.17
418,Nishihara,JP,1561748826,35.74,139.53,71.01,100,90,3.36
419,Sao Felix do Xingu,BR,1561748826,-6.64,-51.99,89.67,41,20,5.99
420,North Bend,US,1561748709,43.41,-124.22,64.0,72,1,8.05
421,Ilebo,CD,1561748826,-4.33,20.59,79.77,55,65,1.57
422,Aborlan,PH,1561748827,9.44,118.55,78.8,88,20,2.24
423,Nambucca Heads,AU,1561748827,-30.64,152.99,53.6,100,75,5.82
424,Grand Forks,US,1561748552,47.91,-97.06,80.6,54,1,10.29
425,Ryotsu,JP,1561748827,38.08,138.43,66.2,100,90,1.12
426,Cockburn Town,TC,1561748695,21.46,-71.14,82.47,78,100,19.84
427,Gull Lake,CA,1561748827,50.1,-108.48,68.0,68,75,8.05
428,Kondopoga,RU,1561748827,62.21,34.27,55.4,58,43,6.71
429,Sept-Iles,CA,1561748827,50.2,-66.38,55.0,93,90,9.17
430,Rognan,NO,1561748828,67.1,15.4,50.0,93,75,25.28
431,Dharchula,IN,1561748828,29.85,80.53,57.27,61,76,4.21
432,Taltal,CL,1561748828,-25.41,-70.49,54.03,78,20,7.07
433,Hofn,IS,1561748828,64.25,-15.21,55.4,82,20,11.41
434,Baykit,RU,1561748828,61.68,96.39,64.11,53,24,3.8
435,Bathsheba,BB,1561748828,13.22,-59.52,86.0,70,20,24.16
436,San Cristobal,HN,1561748829,14.68,-86.92,84.63,38,21,11.83
437,Sidney,US,1561748829,47.72,-104.16,82.0,57,40,4.7
438,Chihuahua,MX,1561748829,28.66,-106.08,88.0,35,40,5.82
439,College,US,1561748829,64.86,-147.8,73.99,60,90,3.42
440,Pali,IN,1561748829,25.77,73.33,94.89,46,43,15.52
441,Kalat,PK,1561748829,29.03,66.58,69.87,15,0,2.24
442,Tucuman,PE,1561748829,-17.17,-70.89,69.51,19,0,9.31
443,Boyolangu,ID,1561748830,-8.09,111.9,65.19,92,24,6.13
444,Broken Hill,AU,1561748830,-31.97,141.45,59.0,77,75,16.11
445,Marsa Matruh,EG,1561748830,31.35,27.25,80.6,78,40,16.11
446,Santa Elena,EC,1561748830,-2.23,-80.86,78.8,74,40,11.41
447,Balyaga,RU,1561748830,51.15,108.93,51.87,88,99,2.13
448,Mirandopolis,BR,1561748830,-21.13,-51.1,84.99,43,0,9.53
449,Rio Gallegos,AR,1561748831,-51.62,-69.22,41.0,52,0,11.41
450,Akhtubinsk,RU,1561748831,48.29,46.17,76.89,54,59,9.42
451,Nyaunglebin,MM,1561748831,17.95,96.73,76.17,94,84,8.34
452,Broome,GB,1561748831,52.47,1.45,66.2,82,0,9.17
453,Mehamn,NO,1561748831,71.03,27.85,44.6,75,95,19.46
454,Salinas,US,1561748830,36.67,-121.66,73.99,59,1,3.36
455,Saint-Francois,FR,1561748831,46.42,3.91,91.4,33,0,6.93
456,Koslan,RU,1561748832,63.46,48.9,59.97,52,84,6.51
457,Demirci,TR,1561748832,39.05,28.66,71.67,60,2,9.78
458,Rocha,UY,1561748606,-34.48,-54.34,57.65,97,97,5.5
459,Nizhniy Lomov,RU,1561748832,53.53,43.67,58.53,90,9,12.01
460,Constitucion,MX,1561748832,23.99,-104.67,80.01,22,40,10.29
461,Cherskiy,RU,1561748832,68.75,161.3,50.43,77,20,5.55
462,Vao,EE,1561748833,59.1,26.19,60.87,56,28,6.2
463,Kerema,PG,1561748833,-7.96,145.78,79.59,89,87,16.17
464,Port Lincoln,AU,1561748742,-34.72,135.86,57.63,71,100,28.59
465,Kungurtug,RU,1561748833,50.6,97.53,47.73,77,100,2.59
466,Orocue,CO,1561748833,4.79,-71.34,85.71,67,52,9.4
467,Charlestown,US,1561748791,41.38,-71.64,90.0,51,1,6.93
468,Kavaratti,IN,1561748833,10.57,72.64,83.37,76,95,16.8
469,Grindavik,IS,1561748833,63.84,-22.43,53.6,76,75,5.82
470,Panzhihua,CN,1561748834,26.59,101.72,70.41,91,100,2.75
471,Kayes,ML,1561748834,14.44,-11.44,105.8,28,20,6.93
472,Leshukonskoye,RU,1561748834,64.9,45.76,59.97,57,100,4.47
473,Menongue,AO,1561748834,-14.66,17.68,61.59,38,0,4.38
474,Severo-Kurilsk,RU,1561748834,50.68,156.12,41.79,95,2,10.2
475,Boguchany,RU,1561748834,58.38,97.46,63.21,55,0,1.41
476,Ballina,IE,1561748834,54.11,-9.15,68.0,77,90,9.17
477,Bredy,RU,1561748835,52.43,60.33,55.65,88,38,2.71
478,Kasongo,CD,1561748835,-4.43,26.67,80.85,42,12,1.48
479,Sao Filipe,CV,1561748835,14.9,-24.5,73.29,85,5,18.07
480,Ambon,FR,1561748835,47.55,-2.56,78.8,74,0,5.82
481,Atagay,RU,1561748835,55.1,99.39,61.59,71,82,2.3
482,Samana,EC,1561748835,0.12,-76.97,78.8,78,75,4.7
483,Shitanjing,CN,1561748835,39.23,106.34,70.0,24,19,4.0
484,Nyurba,RU,1561748836,63.29,118.35,61.77,96,35,5.59
485,Karaton,ID,1561748836,-6.34,106.1,77.0,78,20,5.82
486,Alyangula,AU,1561748836,-13.85,136.42,62.6,100,0,9.73
487,Haines Junction,CA,1561748836,60.75,-137.51,65.01,37,94,2.59
488,Acapulco,MX,1561748836,16.86,-99.88,89.6,66,5,8.05
489,Nurota,UZ,1561748836,40.56,65.69,78.8,36,12,2.24
490,Pevek,RU,1561748761,69.7,170.27,39.81,80,3,9.86
491,Williams Lake,CA,1561748837,52.13,-122.14,48.2,93,90,9.17
492,Nouadhibou,MR,1561748837,20.93,-17.03,77.0,53,0,18.34
493,Camargo,MX,1561748837,27.69,-105.17,87.69,30,0,6.89
494,Manicore,BR,1561748837,-5.81,-61.3,91.4,59,40,6.93
495,Suarez,CO,1561748837,4.05,-74.83,89.6,43,75,9.17
496,Trenggalek,ID,1561748837,-8.05,111.71,65.19,92,24,6.13
497,Whitehorse,CA,1561748731,60.72,-135.06,72.0,45,75,3.36
498,Merauke,ID,1561748838,-8.49,140.4,79.23,84,86,24.4
499,Coihaique,CL,1561748838,-45.58,-72.07,35.6,59,20,3.96
500,Jega,NG,1561748838,12.22,4.38,86.61,49,64,10.89
501,Torbay,CA,1561748838,47.66,-52.73,59.0,100,90,3.36
502,Moose Factory,CA,1561748838,51.26,-80.61,71.6,68,75,14.99
503,Ancud,CL,1561748838,-41.87,-73.83,41.0,60,0,9.17
504,Jawhar,IN,1561748838,19.91,73.23,79.41,87,100,10.02
505,Gilgit,PK,1561748839,35.92,74.31,47.01,50,41,3.18
506,Kuching,MY,1561748839,1.56,110.34,80.6,94,75,2.24
507,Arlit,NE,1561748709,18.74,7.39,105.33,10,18,5.35
508,Port Hawkesbury,CA,1561748839,45.62,-61.36,64.0,67,75,9.17
509,Moscow,RU,1561748324,55.75,37.62,51.8,93,90,17.9
510,Saint-Raphael,HT,1561748839,19.43,-72.2,83.91,62,77,5.95
511,Baoding,CN,1561748839,38.86,115.49,73.47,64,11,4.14
512,Batemans Bay,AU,1561748840,-35.71,150.18,46.99,99,0,1.01
513,Mlowo,TZ,1561748840,-9.01,33.0,56.19,79,0,7.07
514,Leh,IN,1561748840,34.16,77.58,31.53,54,5,4.92
515,Krasnoarmeysk,RU,1561748840,56.12,38.15,51.8,93,90,17.9
516,Ulladulla,AU,1561748840,-35.36,150.48,48.0,100,5,5.82
517,Saint-Pierre,FR,1561748695,48.95,4.24,82.4,51,0,5.82
518,Muslyumovo,RU,1561748840,55.31,53.19,61.05,88,100,12.21
519,Takapau,NZ,1561748840,-40.02,176.35,26.01,94,0,3.67
520,Callaway,US,1561748841,46.98,-95.91,78.8,57,1,10.29
521,Muli,CN,1561748841,28.08,109.56,68.97,97,100,8.41
522,Xining,CN,1561748841,36.62,101.77,49.17,74,100,2.73
523,Caronport,CA,1561748841,50.46,-105.81,73.4,60,75,3.36
524,Lasa,CY,1561748841,34.92,32.53,78.8,83,75,12.75
525,Laurel,US,1561748654,39.1,-76.85,96.01,43,1,4.7
526,Oksfjord,NO,1561748841,70.24,22.35,50.0,81,75,9.17
527,Grand-Lahou,CI,1561748842,5.24,-5.0,77.43,80,76,5.59
528,San Ramon,NI,1561748842,12.92,-85.84,75.2,69,40,18.34
529,Sayyan,YE,1561748842,15.17,44.32,79.41,56,40,3.94
530,Suihua,CN,1561748842,46.64,126.99,59.97,97,100,5.61
531,Torremolinos,ES,1561748842,36.62,-4.5,80.6,57,0,6.93
532,Sinnamary,GF,1561748842,5.38,-52.96,81.57,81,5,16.28
533,Iroquois Falls,CA,1561748842,48.76,-80.69,82.4,39,75,8.05
534,Virginia Beach,US,1561748414,36.85,-75.98,97.0,55,75,11.41
535,Pulandian,CN,1561748843,39.4,121.96,73.99,88,40,6.71
536,Feldkirchen,DE,1561748843,48.48,11.91,82.4,41,0,1.12
537,Genthin,DE,1561748843,52.41,12.16,73.99,43,0,5.75
538,Vung Tau,VN,1561748709,10.35,107.08,79.59,84,100,10.56
539,Leeton,AU,1561748843,-34.55,146.4,60.8,66,90,8.05
540,Utrecht,NL,1561748600,52.09,5.11,78.01,64,0,11.41
541,Karasjok,NO,1561748843,69.47,25.52,50.0,55,0,25.28
542,Kosai,JP,1561748844,34.71,137.53,77.0,88,75,4.7
543,Tommot,RU,1561748844,58.97,126.27,52.95,91,29,2.17
544,Husavik,CA,1561748844,50.56,-96.99,84.0,23,55,5.01
545,Makaryev,RU,1561748844,57.88,43.81,52.77,97,100,9.69
546,Camaqua,BR,1561748844,-30.85,-51.81,69.69,90,90,4.14
547,Poum,MK,1561748844,41.28,20.71,73.4,53,20,5.82
548,Ekhabi,RU,1561748845,53.51,142.97,45.39,84,72,3.89
549,Pouebo,NC,1561748845,-20.4,164.57,61.23,95,9,2.26
550,Qandala,SO,1561748845,11.47,49.87,90.57,51,91,22.46
551,Middle Island,US,1561748845,40.88,-72.94,91.0,33,1,10.29
552,Ust-Maya,RU,1561748845,60.42,134.54,51.33,67,1,1.48
553,Waingapu,ID,1561748845,-9.65,120.26,65.19,88,35,10.42
554,San Quintin,PH,1561748845,17.54,120.52,73.83,93,100,3.2
555,Neryungri,RU,1561748846,56.66,124.71,53.67,71,86,2.28
556,Calca,PE,1561748846,-13.32,-71.96,64.4,25,40,10.29
557,Cota,CO,1561748846,4.81,-74.1,60.8,63,75,17.22
